CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4869	5024	12	0.925	122.037
2108	7686	12	0.9311	-42.011
2504	2646	12	0.9397	-9.947
2517	4777	12	0.952	-0.000
664	2061	12	0.9611	14.015
4777	5512	12	0.9381	0.000
2424	4777	12	0.9328	-104.026
7686	7726	12	0.9393	-60.021
2424	2473	12	0.9245	42.013
1600	2383	12	0.9282	42.009
7750	7770	12	0.9415	2.942
664	2183	12	0.9231	10.021
664	2021	12	0.9622	19.970
2565	2687	12	0.9435	-10.018
2778	5495	12	0.9305	28.030
4895	7770	12	0.9294	-59.074
2517	4895	12	0.9822	-60.021
2524	3024	12	0.9416	77.036
1600	5065	12	0.9291	-20.006
2778	3024	12	0.9257	4.057
2027	2100	12	0.9493	16.958
7750	7768	12	0.9586	19.969
2052	7767	12	0.9353	-19.970
2759	7782	12	0.9517	42.010
2603	7767	12	0.9241	-62.015
5016	5024	12	0.9567	122.038
2603	3021	12	0.9254	-139.064
7686	7859	12	0.9339	-77.047
5024	5372	12	0.933	-60.022
4843	5085	12	0.9558	-62.018
4798	7770	12	0.9221	-42.048
4798	5085	12	0.9363	17.026
2424	2687	12	0.9377	-60.021
2504	4895	12	0.9535	-79.990
2440	2691	12	0.9632	77.047
4798	4895	12	0.9581	17.027
2464	2691	12	0.9583	60.020
664	2100	12	0.9387	-3.012
2687	4964	12	0.9313	24.984
7859	8026	12	0.9249	77.048
5372	7709	12	0.9342	-42.097
2471	2507	12	0.9217	60.021
2778	4895	12	0.9389	-65.974
2473	2507	12	0.9399	-0.002
7729	7770	12	0.934	19.970
2646	2691	12	0.9251	-36.038
2518	2594	12	0.9431	-10.019
2518	2565	12	0.9291	-42.015
2440	2464	12	0.9582	17.027
2017	2061	12	0.9307	31.043
2662	4798	12	0.9429	-5.953
1600	7812	12	0.93	-14.017
7768	7770	12	0.9493	-17.027
2387	4843	12	0.9401	-24.982
2646	2778	12	0.9257	-4.068
2687	5065	12	0.9503	-79.042
2387	2687	12	0.9299	17.026
2387	7782	12	0.9393	-62.016
2410	2450	12	0.9521	60.020
2646	5512	12	0.927	-10.022
7729	7750	12	0.9282	17.028
5065	7782	12	0.9474	-0.000
7661	7686	12	0.9246	77.047
2507	4964	12	0.9245	-77.048
4732	5267	12	0.9381	-80.026
4895	5512	12	0.9605	60.021
2691	3024	12	0.9251	36.027
2504	4777	12	0.9372	-19.969
2021	2029	12	0.9514	-17.027
2603	7902	12	0.9233	-122.037
2687	4732	12	0.9427	18.011
2476	2594	12	0.933	17.026
2582	4798	12	0.949	-33.985
2524	2582	12	0.9307	23.963
2687	5506	12	0.9314	24.984
1790	7782	12	0.9357	-97.054
2410	4843	12	0.9529	-10.019
2517	4798	12	0.9442	-77.048
1790	2759	12	0.9549	-139.065
5085	8842	12	0.94	122.036
2759	4843	12	0.9395	79.044
5512	8842	12	0.9297	62.014
2759	7661	12	0.9621	19.969
2471	5453	12	0.941	42.011
4895	8842	12	0.9497	122.035
2517	5512	12	0.9618	-0.000
2061	2100	12	0.9624	-17.027
2424	5065	12	0.9333	-139.063
2471	2594	12	0.9383	0.003
2387	5378	12	0.9353	17.027
2546	2617	12	0.9316	-17.027
2504	2778	12	0.9625	-14.016
2518	2546	12	0.9355	42.010
2582	4895	12	0.9349	-16.958
2017	2029	12	0.9582	19.971
2517	4843	12	0.938	1.996
1600	1790	12	0.9453	77.048
2603	7750	12	0.9244	-164.048
664	2034	12	0.9441	-36.996
2017	2021	12	0.9326	36.998
2017	2034	12	0.9502	-19.968
2027	2052	12	0.9479	79.992
2021	2104	12	0.9255	60.020
2027	2061	12	0.9632	33.984
7846	7893	12	0.9393	-17.025
2027	2034	12	0.9679	-17.027
2504	5512	12	0.9556	-19.969
2594	5453	12	0.9249	42.008
2603	8069	12	0.9456	-15.995
1935	2662	12	0.9545	-14.016
2501	2546	12	0.9562	-18.012
2027	7750	12	0.9447	-42.011
2383	2387	12	0.9387	0.001
664	2104	12	0.9299	79.990
4798	5580	12	0.9387	-28.031
2722	5267	12	0.9232	-122.037
4777	7686	12	0.9437	19.968
2021	2183	12	0.9348	-9.949
4777	5065	12	0.942	-35.037
2504	2517	12	0.9588	-19.969
4732	5155	12	0.9265	-0.000
1935	2504	12	0.9496	77.048
2504	5085	12	0.943	-79.991
4732	7782	12	0.9509	-97.053
1600	7661	12	0.9532	-42.048
4777	4895	12	0.9402	-60.021
1600	4843	12	0.9455	17.027
2759	5085	12	0.9391	17.026
2021	2061	12	0.9283	-5.955
2603	7729	12	0.9292	-181.076
2603	7828	12	0.9296	-42.012
7729	7828	12	0.921	139.064
1790	4777	12	0.9481	-62.017
2517	2646	12	0.9422	10.022
4732	5065	12	0.9327	-97.053
2722	7782	12	0.9373	-139.064
4798	5512	12	0.9294	77.048
2401	7661	12	0.9216	-101.084
2546	5453	12	0.9657	-10.020
1935	2582	12	0.9549	14.016
3021	7902	12	0.9563	17.027
4843	8842	12	0.9386	60.018
664	2029	12	0.9309	2.943
1600	2759	12	0.9616	-62.017
4843	7726	12	0.9339	-42.049
1935	4798	12	0.9449	-19.969
664	2027	12	0.9661	-19.969
7686	8026	12	0.955	0.001
7661	7859	12	0.9406	0.000
5267	7782	12	0.9566	-17.028
1790	4732	12	0.9548	-0.001
5495	8842	12	0.9223	28.031
2524	2646	12	0.9449	77.047
2778	5512	12	0.947	-5.953
664	2052	12	0.9283	60.023
2603	4777	12	0.9479	-42.011
4869	5016	12	0.9433	-0.001
2388	7709	12	0.9577	-0.087
1600	5378	12	0.9286	59.037
2504	8842	12	0.9388	42.045
2610	5372	12	0.9496	-60.021
1600	2387	12	0.9562	42.010
2507	5477	12	0.9251	-35.037
1790	7686	12	0.9386	-42.048
2471	2518	12	0.9659	10.022
2021	2052	12	0.9303	40.052
7794	7824	13	0.8618	20.989
7794	7853	13	0.9134	62.017
7824	7853	13	0.9174	41.027
12495	12521	14	0.9395	17.027
