	pfcode	family_desc	genus_desc	species_desc	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family
8089	https://www.sinergiawolfender.org/jlw/V108190	Asparagaceae	Dracaena	Dracaena steudneri	0.0	536.0	3646.0
8090	https://www.sinergiawolfender.org/jlw/V108192	Asteraceae	Felicia	Felicia muricata	0.0	30.0	96094.0
8091	https://www.sinergiawolfender.org/jlw/V108193	Rhamnaceae	Helinus	Helinus mystacinus	0.0	10.0	2163.0
8092	https://www.sinergiawolfender.org/jlw/V108194	Lamiaceae	Leucas	Leucas glabrata	0.0	151.0	45837.0
8093	https://www.sinergiawolfender.org/jlw/V108195	Lamiaceae	Leucas	Leucas glabrata	0.0	151.0	45837.0
8094	https://www.sinergiawolfender.org/jlw/V108196	Euphorbiaceae	Macaranga	Macaranga kilimandscharica	0.0	429.0	12356.0
8095	https://www.sinergiawolfender.org/jlw/V108197	Euphorbiaceae	Macaranga	Macaranga kilimandscharica	0.0	429.0	12356.0
8096	https://www.sinergiawolfender.org/jlw/V108198	Rubiaceae	Pauridiantha	Pauridiantha paucinervis	4.0	8.0	10467.0
8097	https://www.sinergiawolfender.org/jlw/V108199	Rubiaceae	Pauridiantha	Pauridiantha paucinervis	4.0	8.0	10467.0
8098	https://www.sinergiawolfender.org/jlw/V108200	Araliaceae	Polyscias	Polyscias kikuyuensis	0.0	98.0	6489.0
8099	https://www.sinergiawolfender.org/jlw/V108201	Asteraceae	Psiadia	Psiadia punctulata	26.0	148.0	96094.0
8100	https://www.sinergiawolfender.org/jlw/V108202	Rubiaceae	Psychotria	Psychotria peduncularis	0.0	389.0	10467.0
8101	https://www.sinergiawolfender.org/jlw/V108203	Fabaceae	Pterolobium	Pterolobium stellatum	0.0	5.0	59372.0
8102	https://www.sinergiawolfender.org/jlw/V108204	Rubiaceae	Pyrostria	Pyrostria phyllanthoidea	0.0	1.0	10467.0
8103	https://www.sinergiawolfender.org/jlw/V108205	Apocynaceae	Rauvolfia	Rauvolfia caffra	61.0	952.0	18617.0
8104	https://www.sinergiawolfender.org/jlw/V108206	Hamamelidaceae	Trichocladus	Trichocladus ellipticus	0.0	0.0	334.0
8105	https://www.sinergiawolfender.org/jlw/V108207	Malvaceae	Triumfetta	Triumfetta annua	0.0	37.0	3518.0
8106	https://www.sinergiawolfender.org/jlw/V108208	Meliaceae	Turraea	Turraea abyssinica	0.0	270.0	9000.0
8107	https://www.sinergiawolfender.org/jlw/V108209	Meliaceae	Turraea	Turraea abyssinica	0.0	270.0	9000.0
8108	https://www.sinergiawolfender.org/jlw/V108210	Lamiaceae	Fuerstia	Fuerstia africana	2.0	2.0	45837.0
8109	https://www.sinergiawolfender.org/jlw/V108211	Amaranthaceae	Achyranthes	Achyranthes aspera	22.0	89.0	983.0
8110	https://www.sinergiawolfender.org/jlw/V108212	Onagraceae	Epilobium	Epilobium hirsutum	3.0	149.0	1189.0
8111	https://www.sinergiawolfender.org/jlw/V108213	Myrtaceae	Syzygium	Syzygium cordatum	1.0	857.0	9739.0
8112	https://www.sinergiawolfender.org/jlw/V108214	Metteniusaceae	Apodytes	Apodytes dimidiata	2.0	2.0	30.0
8113	https://www.sinergiawolfender.org/jlw/V108215	Rubiaceae	Heinsia	Heinsia crinita	4.0	4.0	10467.0
8114	https://www.sinergiawolfender.org/jlw/V108216	Euphorbiaceae	Mallotus	Mallotus oppositifolius	3.0	824.0	12356.0
8115	https://www.sinergiawolfender.org/jlw/V108217	Sapindaceae	Paullinia	Paullinia pinnata	16.0	64.0	2733.0
8116	https://www.sinergiawolfender.org/jlw/V108218	Lamiaceae	Premna	Premna hildebrandtii	0.0	377.0	45837.0
8117	https://www.sinergiawolfender.org/jlw/V108219	Amaranthaceae	Aerva	Aerva lanata	56.0	69.0	983.0
8118	https://www.sinergiawolfender.org/jlw/V108220	Fabaceae	Afzelia	Afzelia quanzensis	3.0	33.0	59372.0
8119	https://www.sinergiawolfender.org/jlw/V108221	Ancistrocladaceae	Ancistrocladus	Ancistrocladus robertsoniorum	29.0	410.0	410.0
8120	https://www.sinergiawolfender.org/jlw/V108222	Acanthaceae	Anisotes	Anisotes parvifolius	0.0	15.0	1998.0
8121	https://www.sinergiawolfender.org/jlw/V108223	Acanthaceae	Anisotes	Anisotes ukambensis	0.0	15.0	1998.0
8122	https://www.sinergiawolfender.org/jlw/V108224	Annonaceae	Annona	Annona senegalensis	82.0	3494.0	9106.0
8123	https://www.sinergiawolfender.org/jlw/V108225	Annonaceae	Annona	Annona senegalensis	82.0	3494.0	9106.0
8124	https://www.sinergiawolfender.org/jlw/V108226	Gentianaceae	Anthocleista	Anthocleista grandiflora	10.0	42.0	3551.0
8125	https://www.sinergiawolfender.org/jlw/V108227	Gentianaceae	Anthocleista	Anthocleista grandiflora	10.0	42.0	3551.0
8126	https://www.sinergiawolfender.org/jlw/V108228	0	0	0	0.0	0.0	0.0
8127	https://www.sinergiawolfender.org/jlw/V108229	Phyllanthaceae	Antidesma	Antidesma venosum	3.0	87.0	2089.0
8128	https://www.sinergiawolfender.org/jlw/V108230	Phyllanthaceae	Antidesma	Antidesma venosum	3.0	87.0	2089.0
8129	https://www.sinergiawolfender.org/jlw/V108231	Aphloiaceae	Aphloia	Aphloia theiformis	6.0	6.0	6.0
8130	https://www.sinergiawolfender.org/jlw/V108232	Aphloiaceae	Aphloia	Aphloia theiformis	6.0	6.0	6.0
8131	https://www.sinergiawolfender.org/jlw/V108233	Rhamnaceae	Berchemia	Berchemia discolor	66.0	169.0	2163.0
8132	https://www.sinergiawolfender.org/jlw/V108234	Rhamnaceae	Berchemia	Berchemia discolor	66.0	169.0	2163.0
8133	https://www.sinergiawolfender.org/jlw/V108235	Asteraceae	Bidens	Bidens schimperi	0.0	434.0	96094.0
8134	https://www.sinergiawolfender.org/jlw/V108236	Asteraceae	Bidens	Bidens schimperi	0.0	434.0	96094.0
8135	https://www.sinergiawolfender.org/jlw/V108237	Salicaceae	Bivinia	Bivinia jalbertii	0.0	0.0	2946.0
8136	https://www.sinergiawolfender.org/jlw/V108238	Salicaceae	Bivinia	Bivinia jalbertii	0.0	0.0	2946.0
8137	https://www.sinergiawolfender.org/jlw/V108239	Burseraceae	Boswellia	Boswellia neglecta	4.0	321.0	1583.0
8138	https://www.sinergiawolfender.org/jlw/V108240	Ochnaceae	Brackenridgea	Brackenridgea zanguebarica	9.0	11.0	358.0
8139	https://www.sinergiawolfender.org/jlw/V108241	Ochnaceae	Brackenridgea	Brackenridgea zanguebarica	9.0	11.0	358.0
8140	https://www.sinergiawolfender.org/jlw/V108242	Simaroubaceae	Brucea	Brucea antidysenterica	55.0	900.0	3260.0
8141	https://www.sinergiawolfender.org/jlw/V108243	Scrophulariaceae	Buddleja	Buddleja pulchella	0.0	557.0	2301.0
