	pfcode	family_desc	genus_desc	species_desc	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	LC
6386	https://www.sinergiawolfender.org/jlw/V106479	Melastomataceae	Memecylon	Memecylon ligustrifolium	0.0	2.0	818.0	0.98344
6387	https://www.sinergiawolfender.org/jlw/V106480	Melastomataceae	Memecylon	Memecylon ligustrifolium	0.0	2.0	818.0	0.98344
6388	https://www.sinergiawolfender.org/jlw/V106481	Podocarpaceae	Nageia	Nageia nagi	152.0	162.0	1338.0	0.88104
6389	https://www.sinergiawolfender.org/jlw/V106482	Podocarpaceae	Nageia	Nageia nagi	152.0	162.0	1338.0	0.88104
6390	https://www.sinergiawolfender.org/jlw/V106483	Podocarpaceae	Nageia	Nageia nagi	152.0	162.0	1338.0	0.88104
6391	https://www.sinergiawolfender.org/jlw/V106484	Lauraceae	Neolitsea	Neolitsea chui	0.0	669.0	7451.0	0.78408
6392	https://www.sinergiawolfender.org/jlw/V106485	Lauraceae	Neolitsea	Neolitsea chui	0.0	669.0	7451.0	0.78408
6393	https://www.sinergiawolfender.org/jlw/V106486	Lauraceae	Neolitsea	Neolitsea chui	0.0	669.0	7451.0	0.78408
6394	https://www.sinergiawolfender.org/jlw/V106487	Lauraceae	Neolitsea	Neolitsea umbrosa	0.0	669.0	7451.0	0.78408
6395	https://www.sinergiawolfender.org/jlw/V106488	Lauraceae	Neolitsea	Neolitsea umbrosa	0.0	669.0	7451.0	0.78408
6396	https://www.sinergiawolfender.org/jlw/V106489	Malvaceae	Malvaviscus	Malvaviscus penduliflorus	0.0	35.0	3518.0	0.9261400000000001
6397	https://www.sinergiawolfender.org/jlw/V106490	Malvaceae	Malvaviscus	Malvaviscus penduliflorus	0.0	35.0	3518.0	0.9261400000000001
6398	https://www.sinergiawolfender.org/jlw/V106491	Malvaceae	Malvaviscus	Malvaviscus penduliflorus	0.0	35.0	3518.0	0.9261400000000001
6399	https://www.sinergiawolfender.org/jlw/V106492	Fabaceae	Lysidice	Lysidice rhodostegia	18.0	58.0	59372.0	-0.2022400000000001
6400	https://www.sinergiawolfender.org/jlw/V106493	Fabaceae	Lysidice	Lysidice rhodostegia	18.0	58.0	59372.0	-0.2022400000000001
6401	https://www.sinergiawolfender.org/jlw/V106494	Oleaceae	Osmanthus	Osmanthus fragrans	63.0	262.0	3719.0	0.86792
6402	https://www.sinergiawolfender.org/jlw/V106495	Oleaceae	Osmanthus	Osmanthus fragrans	63.0	262.0	3719.0	0.86792
6403	https://www.sinergiawolfender.org/jlw/V106496	Melastomataceae	Blastus	Blastus cochinchinensis	0.0	0.0	818.0	0.98364
6404	https://www.sinergiawolfender.org/jlw/V106497	Melastomataceae	Blastus	Blastus cochinchinensis	0.0	0.0	818.0	0.98364
6405	https://www.sinergiawolfender.org/jlw/V106498	Cannabaceae	Gironniera	Gironniera subaequalis	0.0	0.0	1805.0	0.9639
6406	https://www.sinergiawolfender.org/jlw/V106499	Cannabaceae	Gironniera	Gironniera subaequalis	0.0	0.0	1805.0	0.9639
6407	https://www.sinergiawolfender.org/jlw/V106500	Cannabaceae	Gironniera	Gironniera subaequalis	0.0	0.0	1805.0	0.9639
6408	https://www.sinergiawolfender.org/jlw/V106501	Hypericaceae	Cratoxylum	Cratoxylum ligustrinum	0.0	541.0	4797.0	0.8499599999999999
6409	https://www.sinergiawolfender.org/jlw/V106502	Myrtaceae	Syzygium	Syzygium jambos	45.0	857.0	9739.0	0.69702
6410	https://www.sinergiawolfender.org/jlw/V106503	Myrtaceae	Syzygium	Syzygium jambos	45.0	857.0	9739.0	0.69702
6411	https://www.sinergiawolfender.org/jlw/V106504	Casuarinaceae	Casuarina	Casuarina equisetifolia	43.0	86.0	120.0	0.9675
